stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BNFLDML:4,MTD1552,Brownfield & Mary Lou (West Side),,40.13452333,-88.177105,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnfldml,0,
WSFLDLWNDL:3,MTD6123,Westfield & Lawndale (SW Corner),,40.099819,-88.28995,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wsfldlwndl,0,
HRISSHWD:2,MTD1314,Harris & Sherwood (SE Corner),,40.12551667000001,-88.25310333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/hrisswd,0,
JOHNWLWN:3,MTD4631,John & Westlawn (SW Corner),,40.10888333,-88.27140333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnwlwn,0,
PSPCTASRC:2,MTD4215,Prospect & Ayrshire Cir. (SE Corner),,40.09045,-88.257475,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctasrc,0,
UMS:9,MTD4310,Urbana Middle School,,40.10314667,-88.20508332999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ums,0,
GRNUBNA:3,MTD6322,Green & Urbana (SW Corner),,40.11076667,-88.20387332999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grnubna,0,
BRADDNCN:1,MTD2234,Bradley & Duncan (NE Corner),,40.12769167,-88.29540333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/braddncn,0,
JOHNPSPCT:3,MTD7703,John & Prospect (SW Corner),,40.10901333000001,-88.25786167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnpspct,0,
JOHNCHI:1,MTD5171,John & Chicago (NE Corner),,40.10900667,-88.26366333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnchi,0,
MNFREMNT:3,MTD3452,Main & Fremont (South Side),,40.117925,-88.24282332999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnfremnt,0,
BNBLRGDMD:2,MTD5227,Bonnie Blair & Gold Medal (SE Corner),,40.13220900000001,-88.298322,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnblrgdmd,0,
FLOD:3,MTD1151,Florida & Orchard (SW Corner),,40.09821833,-88.21449167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flod,0,
SPFLDNEW:3,MTD4740,Springfield & New (SW Corner),,40.11257833,-88.254345,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldnew,0,
FLGRV:1,MTD4206,Florida & Grove (NE Corner),,40.09841667,-88.201095,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flgrv,0,
4THBIELFELDT:1,MTD8013,Fourth between Kirby & St Marys (West),,40.09611300000001,-88.23363999999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thbielfeldt-1,0,
BRADMCNLY:1,MTD7503,Bradley & McKinley (NE Corner),,40.12726833,-88.26257333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradmcnly,0,
4THCHAL:1,MTD4752,4th & Chalmers (NE Corner),,40.10683822631836,-88.23332214355466,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thchal,0,
LSDMYNRD:1,MTD1135,Lakeshore & Maynard (NE Corner),,40.091285,-88.302075,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lsdmynrd,0,
DNCNBLR:4,MTD5051,Duncan & Blair (NW Corner),,40.11088800000001,-88.295485,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/dncnblr,0,
CRSTWDEDHFMN:4,MTD5367,Crestwood & Edward Hoffman (NW Corner),,40.12713333,-88.300220333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crstwdedhfmn,0,
WLNTWASH:8,MTD6176,Walnut & Washington (NW Far Side),,40.11997333,-88.24158167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wlntwash,0,
MATSCHEVY:2,MTD1354,Mattis & Chevy Chase (SE Corner),,40.10095833,-88.276445,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matschevy,0,
KBYCBLFLD:4,MTD5563,Kirby & Cobblefield (NW Corner),,40.09875106811524,-88.30788421630858,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbycblfld,0,
MATSGNSQ:4,MTD1233,Mattis & Gentry Square South (NW Corner),,40.09184167,-88.27652333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matsgnsq,0,
SWTCHGRSTRLWY:4,MTD0231,Switchgrass & Trailway (NW Corner),,40.126367,-88.309173,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/swtchgrstrlwy,0,
CLMBABTSYRS:4,MTD6939,Columbia & Betsy Ross (NW Corner),,40.131792,-88.18603299999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/clmbabtsyrs-4,0,
GDWNCB:1,MTD0156,Goodwin at Ceramics Building,,40.111654,-88.22406599999998,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/gdwncb,0,
CCSJ:2,MTD1223,County Satellite Jail (East Side),,40.109045,-88.18871333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ccsj,0,
CRSTWDLDU:4,MTD1254,Crestwood & Ladue (NW Corner),,40.124565,-88.30075333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crstwdldu,0,
CLTNCSV:1,MTD0466,Clayton & Crestview (NE Corner),,40.12275696,-88.29010772705078,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltncsv,0,
URBMEIJ:1,MTD5053,Urbana Meijer (South Side),,40.08733500000001,-88.188522,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/urbmeij,0,
ARYWRT:3,MTD4145,Armory & Wright (South Side),,40.10539333,-88.22901333,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/arywrt,0,
CLTNCLW:4,MTD5190,Clayton & Clearwater (NW Corner),,40.12292861938478,-88.28751373,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnclw,0,
CRSNTSANG:2,MTD4557,Crescent & Sangamon (SE Corner),,40.10224,-88.281435,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crsntsang,0,
GRNGWN:1,MTD4360,Green & Goodwin (NE Corner),,40.110585,-88.22371,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grngwn,0,
PDKWLOTG:1,MTD6466,Winfield Village Lot G,,40.06606,-88.24549666999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pdkwlotg,0,
1STLAKEPKS:2,MTD7209,First & Lake Park South (East Side),,40.061609,-88.238277,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/1stlakepks-2,0,
MKTPLCSE:4,MTD3542,Market Place Southeast (North Side),,40.14099833,-88.24031167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mktplcse,0,
STESPFLD:3,MTD2746,State & Springfield (SW Corner),,40.112535,-88.24697333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stespfld,0,
BNFLDCFTN:2,MTD2626,Brownfield & Clifton (East Side),,40.13858667,-88.17279333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/dnfldcftn,0,
DEPOT:1,MTD0623,MTD Garage,,40.11615833,-88.19734192,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/depot,0,
BNTBRKBBCT:1,MTD3539,Bentbrook & Bentbrook Ct (NE Corner),,40.0972900390625,-88.30851745605466,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bntbrkbbct,0,
HZLWDOAK:2,MTD2170,Hazelwood & Oak (SE Corner),,40.09074020385742,-88.24072265625,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/hzlwdoak,0,
WMBGSMLN:4,MTD4132,Williamsburg & Summerlin (NW Corner),,40.13020333,-88.27102667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wmbgsmln,0,
CFDFLDEV:2,MTD1762,Country Fair Dr. at Fluid Events (East),,40.121152,-88.281657,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lumber,0,
JMS:1,MTD0353,Jefferson Middle School,,40.10363333,-88.28194166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/jms,0,
BDMRCRSNT:3,MTD7365,Broadmoor & Crescent (SW Corner),,40.094657,-88.283432,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bdmrcrsnt,0,
RACESWND:6,MTD0443,Race & Sherwin (SE Far Side),,40.07345167,-88.20886167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceswnd,0,
BNBLRAMY:1,MTD3305,Bonnie Blair & Amy (NE Corner),,40.13111833,-88.29967499999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnblramy,0,
